GeneName,GeneID,A549_Bacteria_Spn,A549_Virus_IAV,A549_Virus_RSV,A549_Virus_SARSCoV2,B_cell_Protozoa_Pf,B_cell_Virus_EBV,B_cell_Virus_HBV,Dendritic_Bacteria_Bpe,Dendritic_Bacteria_MTB,Dendritic_Bacteria_Sau,Dendritic_Protozoa_Pf,Dendritic_Virus_HBV,Liver_Virus_HBV,Macrophages_Bacteria_Lmo,Macrophages_Bacteria_MTB,Macrophages_Bacteria_NTHi,Macrophages_Bacteria_SalEn,Macrophages_Bacteria_SalTy,Macrophages_Fungi_Af,Macrophages_Virus_IAV,Macrophages_Virus_SARSCoV2,Monocyte_Bacteria_Lmo,Monocyte_Virus_RSV,PBMCs_Fungi_Af,PBMCs_Protozoa_Pf,T_cell_Virus_HBV,T_cell_Virus_HIV1,hSAEC_Virus_RSV,Huh.7_Virus_HCV
RBBP7,ENSG00000102054.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
PPP1R2C,ENSG00000102055.7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
KCND1,ENSG00000102057.10,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,Up,/,Up,/,/,/,/,/,Up,/
OPN1LW,ENSG00000102076.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC25A14,ENSG00000102078.16,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
FMR1,ENSG00000102081.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,/,/
PIM2,ENSG00000102096.9,/,/,/,/,/,/,/,/,Up,/,Up,/,/,Up,/,Up,Up,Up,/,/,Up,Up,Up,/,/,/,/,/,/
SCML2,ENSG00000102098.19,/,/,/,/,/,/,/,/,Up,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
SLC35A2,ENSG00000102100.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PQBP1,ENSG00000102103.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RS1,ENSG00000102104.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PCSK1N,ENSG00000102109.9,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
EMD,ENSG00000102119.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,Up
TAFAZZIN,ENSG00000102125.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
RAB40AL,ENSG00000102128.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PGK1,ENSG00000102144.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/,Up,/
GATA1,ENSG00000102145.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MAGT1,ENSG00000102158.22,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
SMS,ENSG00000102172.16,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,/,/
PHEX,ENSG00000102174.10,Down,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,Down,/
UBL4A,ENSG00000102178.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,/,Down,/,/,/,/,/,/,/
CD99L2,ENSG00000102181.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
EEA1,ENSG00000102189.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
GPR50,ENSG00000102195.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
RP2,ENSG00000102218.6,Up,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,Up,Up,Up,/,/,/,/,/,/,/,/,/,Up,/
JADE3,ENSG00000102221.14,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,/,/
CDK16,ENSG00000102225.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
USP11,ENSG00000102226.10,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/,/,/
PCYT1B,ENSG00000102230.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,Up,/,/,/,/,/,Down,Down
BRS3,ENSG00000102239.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
HTATSF1,ENSG00000102241.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
VGLL1,ENSG00000102243.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CD40LG,ENSG00000102245.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,Down,/,/,/,/,/,/
TIMP1,ENSG00000102265.12,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,Up,/,/,Up,Up,/,/,/,/,/,Up,Up
KLHL4,ENSG00000102271.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
GABRE,ENSG00000102287.19,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PCDH11X,ENSG00000102290.23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
FGD1,ENSG00000102302.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PIN4,ENSG00000102309.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
PORCN,ENSG00000102312.24,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down
ITIH6,ENSG00000102313.9,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MAGED2,ENSG00000102316.17,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
RBM3,ENSG00000102317.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
KLF8,ENSG00000102349.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Up,/
SRPX2,ENSG00000102359.9,Down,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,Up,/,/,Up,/,Up,/,/,/,/,/,/
SYTL4,ENSG00000102362.16,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,Down
ZDHHC15,ENSG00000102383.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CENPI,ENSG00000102384.14,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,Down,Down,/,/,Down,Up,/,/,/,/,/,Down,Down
DRP2,ENSG00000102385.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,/,Up,/
TAF7L,ENSG00000102387.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PBDC1,ENSG00000102390.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
GLA,ENSG00000102393.14,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,Up,Up,/,Up,/,/,/,/,/
ARMCX3,ENSG00000102401.20,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/
BEX4,ENSG00000102409.10,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
RUBCNL,ENSG00000102445.20,/,/,Up,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,Up,Up,/,/,/,/,/,/,/
NALCN,ENSG00000102452.18,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
FGF14,ENSG00000102466.17,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
HTR2A,ENSG00000102468.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
NDFIP2,ENSG00000102471.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/
TNFSF13B,ENSG00000102524.12,/,/,Up,/,Up,/,/,/,Up,Up,Down,/,/,/,/,Up,Up,Up,/,Up,/,/,Up,/,/,/,/,Up,/
FNDC3A,ENSG00000102531.16,/,/,Up,/,/,Up,/,/,Up,/,/,/,/,/,/,Up,Up,Up,/,/,Up,Up,/,/,/,/,/,Up,/
MLNR,ENSG00000102539.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CDADC1,ENSG00000102543.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
CAB39L,ENSG00000102547.19,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/
KLF5,ENSG00000102554.14,Down,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,Up,Up,Up,/,Up,Up,Up,Up,/,/,/,/,/
STK24,ENSG00000102572.15,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ACP5,ENSG00000102575.14,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,Down,Up,/,/,/,Up,/
DNAJC3,ENSG00000102580.15,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,Up,Up
UGGT2,ENSG00000102595.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
ARHGEF7,ENSG00000102606.20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
FGF9,ENSG00000102678.7,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/
SGCG,ENSG00000102683.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
PARP4,ENSG00000102699.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,/,/,/
SUPT20H,ENSG00000102710.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MRPS31,ENSG00000102738.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC25A15,ENSG00000102743.16,/,/,Down,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,Down,/
KPNA3,ENSG00000102753.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
FLT1,ENSG00000102755.13,/,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,Up,/,Up,/,/,Up,Up,Down,/,/,/,/,Up,/
RGCC,ENSG00000102760.13,/,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,Down,/,Down,/,/,/,Down,Down,/,/,/,/,Up,Up
VWA8,ENSG00000102763.18,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
DGKH,ENSG00000102780.17,/,/,Up,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,Up
KATNAL1,ENSG00000102781.14,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Down,/,/,/,/,Up,/,/,/,/,/,/,/
INTS6,ENSG00000102786.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
ACOD1,ENSG00000102794.10,/,/,/,/,/,/,/,Up,Up,Up,Up,/,/,Up,Up,Up,Up,Up,/,/,Up,Up,Up,/,/,/,/,Up,/
DHRS12,ENSG00000102796.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
MEDAG,ENSG00000102802.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,Up,/,/,/,/,/,/,/,Down
TSC22D1,ENSG00000102804.15,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,/,Up,/,/,/,/,/,Down,/
CLN5,ENSG00000102805.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
OLFM4,ENSG00000102837.7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MSLN,ENSG00000102854.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MGRN1,ENSG00000102858.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
ZNF629,ENSG00000102870.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,Down,/,/,/,/,/,/,/
TRADD,ENSG00000102871.16,Down,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,Up,/,Up,/,Up,/,Up,Up,/,/,/,/,Up,Up
HSF4,ENSG00000102878.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,/,Up
CORO1A,ENSG00000102879.17,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,Down,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Up,/
MAPK3,ENSG00000102882.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/
GDPD3,ENSG00000102886.15,/,/,Up,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,Up,/
ELMO3,ENSG00000102890.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/
MT4,ENSG00000102891.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PHKB,ENSG00000102893.18,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
LYRM1,ENSG00000102897.10,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,Up,Up,/,/,Up,Up,/,/,/,/,/,Down,/
NUTF2,ENSG00000102898.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NUP93,ENSG00000102900.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
CENPT,ENSG00000102901.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
TSNAXIP1,ENSG00000102904.15,/,/,Down,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Down,/
NFAT5,ENSG00000102908.23,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,Up,/,Up,Up,Up,/,/,Up,Up,/,/,/,/,/,Up,/
LONP2,ENSG00000102910.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
N4BP1,ENSG00000102921.8,/,/,Up,/,/,/,/,/,/,Up,Up,/,/,Up,/,Up,Up,Up,/,/,Up,Up,Up,/,/,/,/,Up,/
CBLN1,ENSG00000102924.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ARL2BP,ENSG00000102931.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PLLP,ENSG00000102934.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ZNF423,ENSG00000102935.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,/
CCL22,ENSG00000102962.5,/,/,Up,/,/,Up,/,/,Up,/,Up,/,/,/,/,/,/,Up,/,/,/,Up,Down,/,/,/,/,Up,/
DHODH,ENSG00000102967.12,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,Down,/,/,/,/,/,Down,/
CCL17,ENSG00000102970.11,/,/,Up,/,/,/,/,/,Up,Up,Up,Up,/,/,/,Up,/,Up,/,/,/,/,Down,/,/,/,/,/,/
CTCF,ENSG00000102974.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,/,Down,/,/,/,/,/,/,/
ACD,ENSG00000102977.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
POLR2C,ENSG00000102978.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PARD6A,ENSG00000102981.10,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,/,Up
ZNF821,ENSG00000102984.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/
MMP15,ENSG00000102996.5,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/,Down,/,/,Down,/,/,/,/,/,/,Down,/
USB1,ENSG00000103005.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,Up,/
CYB5B,ENSG00000103018.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CCDC113,ENSG00000103021.10,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,Down,Up
PRSS54,ENSG00000103023.12,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up
NME3,ENSG00000103024.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
NDRG4,ENSG00000103034.15,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,Up,/,/,Up,Up,/,/,/,/,/,/,Up
PSMD7,ENSG00000103035.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SETD6,ENSG00000103037.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
SLC38A7,ENSG00000103042.9,/,/,/,/,/,/,/,/,Down,/,Up,/,/,/,/,/,Down,Down,/,/,/,Up,/,/,/,/,/,Up,Up
VAC14,ENSG00000103043.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
HAS3,ENSG00000103044.11,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TANGO6,ENSG00000103047.8,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,Down,/,/,/,Down,/,/,/,/,/,Down,/
COG4,ENSG00000103051.21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/
SMPD3,ENSG00000103056.12,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
SLC7A6OS,ENSG00000103061.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC7A6,ENSG00000103064.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PLA2G15,ENSG00000103066.13,/,/,/,/,/,/,/,/,Down,Down,/,/,/,Down,/,Down,Down,Down,/,/,Down,Down,/,/,/,/,/,Up,/
ESRP2,ENSG00000103067.14,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/,Down,/,/,Down,/,Up,/,/,/,/,Down,/
